,Unnamed: 0,TOKEN,GROUP#1,GROUP#2,TIME,variable,value,choice_let,situation,alt1.discount,alt2.discount,alt3.discount,Block,alt1.a_0,alt1.a_1,alt1.a_2,alt1.a_3,alt1.a_4,alt1.b_0,alt1.b_1,alt1.b_2,alt1.c_0,alt1.c_1,alt1.c_2,alt1.d_0,alt1.d_1,alt1.d_2,alt1.d_3,alt2.a_0,alt2.a_1,alt2.a_2,alt2.a_3,alt2.a_4,alt2.b_0,alt2.b_1,alt2.b_2,alt2.c_0,alt2.c_1,alt2.c_2,alt2.d_0,alt2.d_1,alt2.d_2,alt2.d_3,alt3.a_0,alt3.a_1,alt3.a_2,alt3.a_3,alt3.a_4,alt3.b_0,alt3.b_1,alt3.b_2,alt3.c_0,alt3.c_1,alt3.c_2,alt3.d_0,alt3.d_1,alt3.d_2,alt3.d_3,asc.4,alt4.a_0,alt4.b_0,alt4.c_0,alt4.d_0,alt4.a_1,alt4.a_2,alt4.a_3,alt4.a_4,alt4.b_1,alt4.b_2,alt4.c_1,alt4.c_2,alt4.d_1,alt4.d_2,alt4.d_3,alt4.discount,alt1.discount_log,alt2.discount_log,alt3.discount_log,alt4.discount_log,choice
0,0,00171557-4724-4719-bf00-2b61cb239229,BEZ RODO,Blok 2,00:09:04.880417,"(1)(0,2,0,3,2) n Opcja A",1.0,A,1,9,6,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,1.791759469228055,1.0986122886681098,0.0,1
1,127,00171557-4724-4719-bf00-2b61cb239229,BEZ RODO,Blok 2,00:09:04.880417,"(2)(4,1,2,1,3) n Opcja B",1.0,B,2,9,12,3,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,2.4849066497880004,1.0986122886681098,0.0,2
2,254,00171557-4724-4719-bf00-2b61cb239229,BEZ RODO,Blok 2,00:09:04.880417,"(3)(4,2,1,1,0) n Opcja B",1.0,B,3,3,3,12,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.0986122886681098,2.4849066497880004,0.0,2
3,381,00171557-4724-4719-bf00-2b61cb239229,BEZ RODO,Blok 2,00:09:04.880417,"(4)(4,0,0,1,2) n Opcja C",1.0,C,4,3,3,9,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.0986122886681098,2.1972245773362196,0.0,3
4,508,00171557-4724-4719-bf00-2b61cb239229,BEZ RODO,Blok 2,00:09:04.880417,"(5)(4,2,0,3,1) n Opcja A",1.0,A,5,6,9,9,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.791759469228055,2.1972245773362196,2.1972245773362196,0.0,1
5,635,00171557-4724-4719-bf00-2b61cb239229,BEZ RODO,Blok 2,00:09:04.880417,"(6)(2,2,2,2,3) n Opcja C",1.0,C,6,3,9,12,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,2.1972245773362196,2.4849066497880004,0.0,3
6,762,00171557-4724-4719-bf00-2b61cb239229,BEZ RODO,Blok 2,00:09:04.880417,"(7)(2,1,1,2,2) n Opcja A",1.0,A,7,9,3,3,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,1.0986122886681098,1.0986122886681098,0.0,1
7,889,00171557-4724-4719-bf00-2b61cb239229,BEZ RODO,Blok 2,00:09:04.880417,"(8)(3,1,0,3,0) n Opcja B",1.0,B,8,6,3,12,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.791759469228055,1.0986122886681098,2.4849066497880004,0.0,2
8,0,01150f38-b565-4c5c-b4b3-92df5cb615a5,Z RODO,Blok 1,00:02:58.837177,"(1)(0,2,1,1,0) n Opcja A",1.0,A,1,3,3,9,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.0986122886681098,2.1972245773362196,0.0,1
9,119,01150f38-b565-4c5c-b4b3-92df5cb615a5,Z RODO,Blok 1,00:02:58.837177,"(2)(1,2,0,1,0) n Opcja C",1.0,C,2,9,3,3,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,1.0986122886681098,1.0986122886681098,0.0,3
